,Unnamed: 0,coin,buy_date,buy,sell_date,sell,profit,profit_rate
224,6,HIFI,2020-08-09,309.1545,2020-08-21,326.8365,17.682000000000016,0.0571947036190643
225,7,HIFI,2020-10-10,222.111,2020-11-01,209.895,-12.21599999999998,-0.0549995272633952
226,8,HIFI,2020-11-09,265.1325,2020-11-21,244.87750000000003,-20.254999999999967,-0.0763957643819598
227,9,HIFI,2020-11-25,290.145,2020-11-26,251.874,-38.27099999999996,-0.1319030140102361
228,10,HIFI,2020-12-01,288.144,2020-12-10,250.8745,-37.2695,-0.1293433144538841
229,11,HIFI,2020-12-19,348.174,2020-12-24,254.8725,-93.30149999999998,-0.2679737717348222
230,0,ONG,2020-01-14,139.0695,2020-02-11,183.908,44.83850000000001,0.3224179277267841
231,1,ONG,2020-02-12,206.103,2020-02-18,211.894,5.791000000000025,0.0280976016845947
232,2,ONG,2020-04-08,110.055,2020-04-16,100.9495,-9.105499999999992,-0.0827359047748852
233,3,ONG,2020-04-26,113.0565,2020-05-07,110.9445,-2.1119999999999948,-0.0186809250242135
234,4,ONG,2020-05-20,123.0615,2020-06-11,134.9325,11.87100000000001,0.0964639631403811
235,5,ONG,2020-06-18,171.0855,2020-07-03,233.883,62.797500000000014,0.3670533154475395
236,6,ONG,2020-08-09,228.114,2020-08-27,215.892,-12.221999999999952,-0.053578473920934
237,7,ONG,2020-11-24,149.0745,2020-12-09,225.887,76.8125,0.5152625029766996
238,0,GAS,2020-01-14,2361.18,2020-02-15,2613.6925,252.51250000000027,0.106943350358719
239,1,GAS,2020-04-06,1365.6825,2020-04-17,1334.3325,-31.34999999999991,-0.0229555551894381
240,2,GAS,2020-04-25,1495.7475,2020-05-11,1519.24,23.492500000000064,0.0157061937258795
241,3,GAS,2020-05-22,1635.8175,2020-06-13,2063.9675,428.1500000000003,0.2617345761370082
242,4,GAS,2020-06-26,2251.125,2020-07-28,1964.0175,-287.10749999999985,-0.1275395635515575
243,5,GAS,2020-08-20,2641.32,2020-08-27,2428.7850000000003,-212.5349999999994,-0.0804654490936347
244,6,GAS,2020-11-24,1730.865,2020-12-13,1744.1275,13.262500000000044,0.0076623537942011
245,0,UPP,2020-01-14,12.90645,2020-02-20,23.48825,10.5818,0.8198846313277471
246,1,UPP,2020-04-29,17.208599999999997,2020-05-12,16.791600000000003,-0.4169999999999945,-0.0242320700115055
247,2,UPP,2020-05-18,19.0095,2020-06-03,19.49025,0.4807500000000004,0.0252899865856545
248,3,UPP,2020-06-19,21.71085,2020-06-24,19.590200000000003,-2.120649999999994,-0.0976769679676288
249,4,UPP,2020-06-30,35.817899999999995,2020-07-18,22.48875,-13.329149999999997,-0.3721365574196141
250,5,UPP,2020-07-22,25.8129,2020-08-01,23.48825,-2.3246499999999983,-0.0900576843361264
251,6,UPP,2020-10-02,26.11305,2020-10-15,21.68915,-4.4239,-0.1694133776023865
252,7,UPP,2020-11-13,21.91095,2020-11-17,20.28985,-1.6210999999999949,-0.0739858381311625
253,0,ELF,2020-01-12,72.4362,2020-02-12,149.925,77.48880000000001,1.069752416609375
254,1,ELF,2020-04-04,81.14054999999999,2020-04-11,75.66215000000001,-5.478399999999979,-0.0675174126869978
255,2,ELF,2020-04-26,84.2421,2020-05-10,77.86105,-6.381049999999988,-0.075746568520965
256,3,ELF,2020-05-22,113.0565,2020-06-16,122.9385,9.882000000000003,0.0874076236218174
257,4,ELF,2020-07-19,127.0635,2020-08-01,122.9385,-4.124999999999986,-0.0324640829191702
258,5,ELF,2020-08-10,138.069,2020-09-02,140.92950000000002,2.8605000000000302,0.0207179019186061
259,6,ELF,2020-09-10,290.145,2020-09-21,113.943,-176.20199999999997,-0.6072894587189164
260,7,ELF,2020-11-10,138.069,2020-11-30,114.9425,-23.12649999999998,-0.1674995835415624
261,8,ELF,2020-12-02,136.06799999999998,2020-12-15,123.938,-12.12999999999998,-0.0891466031690036
262,0,BSV,2020-01-03,116758.35,2020-01-24,310244.8,193486.45,1.6571530001922776
263,1,BSV,2020-02-08,379739.775,2020-02-16,343178.325,-36561.44999999995,-0.0962802750910145
264,2,BSV,2020-04-08,262080.975,2020-05-12,227536.175,-34544.79999999996,-0.1318096439468754
265,3,BSV,2020-07-27,239419.65,2020-08-10,264367.75,24948.10000000001,0.1042023910735815
266,4,BSV,2020-10-25,203451.675,2020-10-31,186656.625,-16795.04999999999,-0.0825505614539668
267,5,BSV,2020-11-21,211955.925,2020-11-30,198200.85,-13755.074999999984,-0.0648959211685164
268,0,THETA,2020-01-14,110.055,2020-02-22,157.92100000000002,47.86600000000003,0.4349279905501797
269,1,THETA,2020-04-06,105.0525,2020-04-11,96.85155000000002,-8.200949999999978,-0.0780652530877416
270,2,THETA,2020-04-22,111.0555,2020-05-14,201.899,90.8435,0.8180009094551824
271,3,THETA,2020-05-19,263.1315,2020-06-05,336.8315,73.70000000000005,0.2800880928357116
